번호,규정명,기관명,본문,제정일,최근 개정일,소관부서,파일 다운로드 링크,파일 이름
14,(가계대출)여신심사 선진화를 위한 가이드라인,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=(개정안)_여신심사_선진화를_위한_가이드라인[20230424084022858].hwp&category=selfRegulation,(개정안)_여신심사_선진화를_위한_가이드라인[20230424084022858].hwp
15,개인사업자대출 여신심사 가이드라인,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=개인사업자대출_여신심사_가이드라인_(211129_시행)[20211130151241904].hwp&category=selfRegulation,개인사업자대출_여신심사_가이드라인_(211129_시행)[20211130151241904].hwp
16,고령 금융소비자보호 가이드라인,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=고령_금융소비자보호_가이드라인(2024.08.01._개정)[20240813103319959].hwp&category=selfRegulation,고령_금융소비자보호_가이드라인(2024.08.01._개정)[20240813103319959].hwp
17,금융소비자보호에 관한 표준내부통제기준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=금융소비자보호에_관한_표준내부통제기준(21.7.30._시행)[20210803141439144].hwp&category=selfRegulation,금융소비자보호에_관한_표준내부통제기준(21.7.30._시행)[20210803141439144].hwp
18,여신전문금융회사 가계・개인사업자대출 프리워크아웃 활성화를 위한 가이드라인,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=여신전문금융회사_가계・개인사업자대출_프리워크아웃_활성화를_위한_가이드라인[20230331152853176].hwp&category=selfRegulation,여신전문금융회사_가계・개인사업자대출_프리워크아웃_활성화를_위한_가이드라인[20230331152853176].hwp
19,여신전문금융회사 대체투자 리스크관리 모범규준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=여신전문금융회사_대체투자_리스크관리_모범규준[20210803090848225].hwp&category=selfRegulation,여신전문금융회사_대체투자_리스크관리_모범규준[20210803090848225].hwp
20,여신전문금융회사의 기업여신 심사 및 사후관리 모범규준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=여신전문금융회사의_기업여신_심사_및_사후관리_모범규준[20230331161121971].hwp&category=selfRegulation,여신전문금융회사의_기업여신_심사_및_사후관리_모범규준[20230331161121971].hwp
21,여신금융업권 방문판매 모범규준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=(첨부1)_여신금융업권_방문판매_모범규준_전문[20231228091342454].hwp&category=selfRegulation,(첨부1)_여신금융업권_방문판매_모범규준_전문[20231228091342454].hwp
22,여신전문금융회사의 사업자대상 렌탈업에 관한 규정,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=여신전문금융회사의_사업자대상_렌탈업에_관한_규정_22.12.1.시행[20221130180020732].hwp&category=selfRegulation,여신전문금융회사의_사업자대상_렌탈업에_관한_규정_22.12.1.시행[20221130180020732].hwp
23,여신전문금융회사의 사업자대상 렌탈업에 관한 규정 세부지침,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=여신전문금융회사의_사업자대상_렌탈업에_관한_규정_세부지침_22.12.1.시행[20221130180007911].hwp&category=selfRegulation,여신전문금융회사의_사업자대상_렌탈업에_관한_규정_세부지침_22.12.1.시행[20221130180007911].hwp
24,여신전문금융회사 유동성리스크 관리 모범규준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=여신전문금융회사_유동성리스크_관리_모범규준_전문[20241129171719969].hwp&category=selfRegulation,여신전문금융회사_유동성리스크_관리_모범규준_전문[20241129171719969].hwp
25,여신금융업권 채용절차 모범규준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=여신금융업권 채용절차 모범규준(2020.4.27. 시행).hwp&category=selfRegulation,여신금융업권 채용절차 모범규준(2020.4.27. 시행).hwp
26,여신금융회사의 혁신금융업무 등에 대한 면책특례에 관한 모범규준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=여신금융회사의 혁신금융업무 등에 대한 면책특례에 관한 모범규준(2020.10.30. 시행).hwp&category=selfRegulation,여신금융회사의 혁신금융업무 등에 대한 면책특례에 관한 모범규준(2020.10.30. 시행).hwp
27,표준금융소비자보호기준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=표준금융소비자보호기준_전문(홈페이지_게시)_241227[20241227141721295].hwp&category=selfRegulation,표준금융소비자보호기준_전문(홈페이지_게시)_241227[20241227141721295].hwp
28,제휴서비스 업체・제휴업체 선정 및 관리 가이드라인,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=「제휴서비스_업체・제휴업체_선정_및_관리_가이드라인」_전문_240331[20240404141651919].hwp&category=selfRegulation,「제휴서비스_업체・제휴업체_선정_및_관리_가이드라인」_전문_240331[20240404141651919].hwp
29,가입신청서 및 동의서 개편 가이드라인(개인회원),여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=가입신청서 및 동의서 개편 가이드라인(개인회원)(21.5.18.개정).hwp&category=selfRegulation,가입신청서 및 동의서 개편 가이드라인(개인회원)(21.5.18.개정).hwp
